Rank,Release Group,Worldwide,Domestic,%,Foreign,%
68,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
69,Masquerade Night,"$32,260,468",-,-,"$32,260,468",100%
70,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
71,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
72,Respect,"$31,379,399","$24,278,399",77.4%,"$7,101,000",22.6%
73,The Unholy,"$30,830,440","$15,530,440",50.4%,"$15,300,000",49.6%
74,Escape from Mogadishu,"$29,855,265","$346,271",1.2%,"$29,508,994",98.8%
75,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
76,Master,"$28,692,230",-,-,"$28,692,230",100%
77,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
78,Chaos Walking,"$26,456,630","$13,287,908",50.2%,"$13,168,722",49.8%
79,The Last Duel,"$26,175,803","$10,567,354",40.4%,"$15,608,449",59.6%
80,The Courier,"$25,633,024","$6,613,432",25.8%,"$19,019,592",74.2%
81,Those Who Wish Me Dead,"$23,408,489","$7,347,103",31.4%,"$16,061,386",68.6%
82,The Marksman,"$22,988,549","$15,566,093",67.7%,"$7,422,456",32.3%
83,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
84,Kaamelott: First Installment,"$21,941,166","$188,000",0.9%,"$21,753,166",99.1%
85,After We Fell,"$21,679,065","$2,170,750",10%,"$19,508,315",90%
86,The French Dispatch,"$21,604,907","$10,316,679",47.8%,"$11,288,228",52.2%
87,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
88,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
89,Stillwater,"$19,677,635","$14,465,535",73.5%,"$5,212,100",26.5%
90,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
91,The Green Knight,"$18,873,029","$17,173,321",91%,"$1,699,708",9%
92,Sinkhole,"$18,755,224",-,-,"$18,755,224",100%
93,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
94,The Stronghold,"$18,066,143",-,-,"$18,066,143",100%
95,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
96,Gintama: The Final,"$17,244,651",-,-,"$17,244,651",100%
97,The Dry,"$17,183,264","$364,237",2.1%,"$16,819,027",97.9%
98,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
99,Reminiscence,"$15,800,193","$3,900,193",24.7%,"$11,900,000",75.3%
100,Dear Evan Hansen,"$15,766,589","$14,962,540",94.9%,"$804,049",5.1%
101,The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%
102,Minari,"$15,372,376","$3,110,580",20.2%,"$12,261,796",79.8%
103,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
104,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
105,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,-,"$14,059,824",100%
106,Last Night in Soho,"$13,888,880","$8,796,880",63.3%,"$5,092,000",36.7%
107,Antlers,"$13,698,307","$8,773,572",64%,"$4,924,735",36%
108,OSS 117: From Africa with Love,"$13,307,437",-,-,"$13,307,437",100%
109,Hostage: Missing Celebrity,"$13,117,797",-,-,"$13,117,797",100%
110,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
111,Monkey King Reborn,"$13,002,635",-,-,"$13,002,635",100%
112,No Escapes,"$12,916,151",-,-,"$12,916,151",100%
113,Character,"$12,571,501",-,-,"$12,571,501",100%
114,The Many Saints of Newark,"$12,320,603","$8,220,603",66.7%,"$4,100,000",33.3%
115,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
116,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
117,On the Line,"$11,853,463",-,-,"$11,853,463",100%
118,Cry Macho,"$11,780,333","$10,280,333",87.3%,"$1,500,000",12.7%
119,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
120,Eiffel,"$11,184,739",-,-,"$11,184,739",100%
121,Krack,"$10,442,916",-,-,"$10,442,916",100%
122,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
123,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
